simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mMBD,mMZD,fFZS,fMBS,fMZS,fFBD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2064221922446039,1.3330216951373162,1.1265995028927123,tasi-,tupu-,tupu-,soe-,tasi-,tupu-,tupu-,tupu-,tupu-,tupu-,mapi-,mapi-,vatasi-,vatasi-,tupu-,mapi-,tupu-,vatasi-,tasi-,vatasi-,vatasi-,tupu-,tasi-,tupu-,mapi-,tupu-,vatasi-,vatasi-,vatasi-,vatasi-,tasi-,tasi-,vatasi-,mapi-,vatasi-,tasi-,vatasi-,tupu-,mapi-,soe-,tasi-,tupu-,vatasi-,tupu-,mapi-,tasi-,tupu-,tupu-,mapi-,tasi-,tasi-,tupu-,tasi-,tupu-,vatasi-,tupu-,mapi-,vatasi-,vatasi-,vatasi-,vatasi-,mapi-,vatasi-,tasi-,vatasi-,vatasi-,vatasi-,tasi-,vatasi-,tasi-,"sapuri-, sope",tama-,tina-,tama-,tina-,tina-,tina-,tina-,venatu-,tama-,tama-,tama-,"sapuri-, sope","sapuri-, sope",tina-,venatu-,venatu-,venatu-,"sapuri-, sope",tama-
1,0.20808759630232276,1.3642988938854619,1.1562112975831391,tupu-,tupu-,tupu-,tupu-,vatasi-,vatasi-,vatasi-,tasi-,tupu-,tupu-,vatasi-,vatasi-,mapi-,mapi-,tupu-,vatasi-,vatasi-,tupu-,tasi-,vatasi-,vatasi-,vatasi-,mapi-,tasi-,tupu-,vatasi-,mapi-,tupu-,vatasi-,vatasi-,soe-,mapi-,mapi-,tasi-,mapi-,vatasi-,tasi-,tasi-,vatasi-,vatasi-,tupu-,vatasi-,vatasi-,vatasi-,tupu-,tasi-,tupu-,mapi-,tasi-,tupu-,vatasi-,vatasi-,vatasi-,mapi-,tupu-,tupu-,tasi-,tupu-,vatasi-,tasi-,tasi-,mapi-,tupu-,soe-,tasi-,tupu-,tasi-,tasi-,tupu-,tasi-,venatu-,venatu-,"sapuri-, sope","sapuri-, sope",tama-,tama-,tina-,venatu-,tama-,"sapuri-, sope",tina-,venatu-,tama-,tina-,tina-,"sapuri-, sope",tina-,tama-,tina-,tama-
2,0.08553779092198255,1.3588062515728718,1.2732684606508893,mapi-,tupu-,vatasi-,tasi-,tasi-,tasi-,mapi-,vatasi-,soe-,vatasi-,vatasi-,vatasi-,mapi-,tasi-,tupu-,tasi-,tupu-,vatasi-,tupu-,vatasi-,tupu-,vatasi-,vatasi-,mapi-,tasi-,tupu-,vatasi-,tasi-,tasi-,tupu-,mapi-,vatasi-,vatasi-,vatasi-,tasi-,tasi-,vatasi-,vatasi-,vatasi-,tupu-,vatasi-,vatasi-,tasi-,soe-,mapi-,tasi-,tupu-,vatasi-,tupu-,tasi-,mapi-,tupu-,tupu-,mapi-,tasi-,vatasi-,tupu-,mapi-,tupu-,tasi-,tupu-,tupu-,tupu-,vatasi-,vatasi-,vatasi-,tupu-,tupu-,mapi-,tupu-,"sapuri-, sope",venatu-,"sapuri-, sope",tina-,tama-,tina-,"sapuri-, sope",tama-,tina-,"sapuri-, sope",tina-,tama-,tama-,venatu-,tama-,tina-,venatu-,tina-,tama-,venatu-
3,0.14161262633881755,1.3563621114614244,1.2147494851226068,mapi-,tupu-,tasi-,vatasi-,tasi-,tupu-,tasi-,tasi-,vatasi-,vatasi-,vatasi-,vatasi-,mapi-,vatasi-,vatasi-,tupu-,tupu-,vatasi-,tasi-,tupu-,mapi-,tupu-,tasi-,vatasi-,tasi-,mapi-,tupu-,tasi-,mapi-,vatasi-,vatasi-,tasi-,tupu-,vatasi-,soe-,tasi-,tupu-,tasi-,tupu-,tasi-,tupu-,mapi-,tasi-,tasi-,vatasi-,mapi-,vatasi-,tupu-,mapi-,vatasi-,tupu-,tupu-,tupu-,tupu-,tupu-,vatasi-,tupu-,vatasi-,vatasi-,vatasi-,vatasi-,tupu-,mapi-,vatasi-,soe-,vatasi-,tasi-,mapi-,tupu-,vatasi-,venatu-,"sapuri-, sope",tama-,tama-,tina-,tama-,venatu-,tina-,"sapuri-, sope",venatu-,tina-,"sapuri-, sope",tina-,"sapuri-, sope",tama-,tama-,tina-,tina-,tama-,venatu-
4,0.09790526517417764,1.37261791419076,1.2747126490165823,mapi-,tupu-,tasi-,vatasi-,tasi-,tasi-,vatasi-,mapi-,vatasi-,vatasi-,tasi-,tasi-,vatasi-,vatasi-,tupu-,tupu-,vatasi-,tasi-,vatasi-,vatasi-,tupu-,tupu-,tasi-,tasi-,tasi-,tupu-,tasi-,vatasi-,tupu-,tasi-,tupu-,tupu-,mapi-,tupu-,vatasi-,vatasi-,vatasi-,tupu-,mapi-,tupu-,vatasi-,vatasi-,vatasi-,mapi-,vatasi-,tupu-,tupu-,mapi-,vatasi-,tupu-,tupu-,tupu-,vatasi-,vatasi-,tupu-,tupu-,tasi-,mapi-,mapi-,vatasi-,mapi-,tupu-,soe-,vatasi-,tasi-,tasi-,tasi-,soe-,vatasi-,mapi-,"sapuri-, sope",tama-,venatu-,"sapuri-, sope",tina-,venatu-,tina-,tama-,"sapuri-, sope",tama-,tama-,tama-,tina-,venatu-,"sapuri-, sope",tama-,venatu-,tina-,tina-,tina-
5,0.3135821206749976,1.3628211780829826,1.049239057407985,tupu-,vatasi-,vatasi-,tupu-,tupu-,vatasi-,mapi-,vatasi-,vatasi-,tupu-,tasi-,tasi-,tupu-,tupu-,mapi-,tupu-,tasi-,mapi-,vatasi-,vatasi-,vatasi-,tupu-,tupu-,tasi-,mapi-,tasi-,soe-,mapi-,mapi-,mapi-,vatasi-,vatasi-,tupu-,vatasi-,tupu-,tasi-,mapi-,vatasi-,vatasi-,tasi-,tupu-,vatasi-,tupu-,vatasi-,mapi-,vatasi-,tasi-,vatasi-,tasi-,mapi-,tupu-,tasi-,tasi-,vatasi-,vatasi-,tasi-,vatasi-,tasi-,soe-,tasi-,tasi-,vatasi-,tupu-,tupu-,vatasi-,tupu-,tupu-,tupu-,vatasi-,tupu-,"sapuri-, sope",venatu-,tama-,tama-,tina-,venatu-,tama-,tina-,"sapuri-, sope",tama-,tama-,"sapuri-, sope",venatu-,"sapuri-, sope",tama-,tina-,tina-,venatu-,tina-,tina-
6,0.1627980904706927,1.3261296727883107,1.163331582317618,tupu-,vatasi-,tasi-,tasi-,tupu-,tupu-,vatasi-,mapi-,vatasi-,tupu-,tasi-,vatasi-,vatasi-,vatasi-,mapi-,mapi-,tasi-,tupu-,mapi-,tasi-,vatasi-,mapi-,tasi-,vatasi-,tasi-,vatasi-,tupu-,tupu-,tasi-,tupu-,tupu-,vatasi-,vatasi-,vatasi-,vatasi-,mapi-,tasi-,mapi-,tasi-,mapi-,tupu-,tupu-,tasi-,vatasi-,tasi-,tupu-,vatasi-,vatasi-,vatasi-,vatasi-,tupu-,vatasi-,vatasi-,vatasi-,tupu-,mapi-,tupu-,soe-,tasi-,vatasi-,tupu-,mapi-,soe-,tupu-,tupu-,tupu-,vatasi-,tasi-,tupu-,tasi-,tama-,tina-,tina-,tama-,venatu-,venatu-,"sapuri-, sope",tama-,tina-,tina-,tina-,"sapuri-, sope",tina-,"sapuri-, sope",tama-,venatu-,"sapuri-, sope",venatu-,tama-,tama-
7,0.17304684217087396,1.3733430983310129,1.200296256160139,mapi-,tupu-,vatasi-,tupu-,vatasi-,mapi-,vatasi-,vatasi-,vatasi-,tupu-,tupu-,tupu-,tasi-,tupu-,vatasi-,vatasi-,vatasi-,vatasi-,tasi-,tasi-,tupu-,mapi-,tasi-,tupu-,vatasi-,tasi-,vatasi-,tasi-,vatasi-,mapi-,vatasi-,vatasi-,tasi-,tasi-,vatasi-,tasi-,tupu-,tasi-,vatasi-,tupu-,mapi-,vatasi-,tupu-,tupu-,tupu-,vatasi-,tasi-,tupu-,vatasi-,tupu-,tupu-,vatasi-,mapi-,mapi-,vatasi-,vatasi-,tupu-,tasi-,vatasi-,tupu-,tasi-,mapi-,soe-,tasi-,tupu-,tupu-,tasi-,mapi-,mapi-,soe-,tina-,"sapuri-, sope","sapuri-, sope",venatu-,tama-,tama-,tina-,tina-,tina-,tama-,tama-,venatu-,venatu-,tina-,"sapuri-, sope",tama-,tina-,venatu-,tama-,"sapuri-, sope"
8,0.06916431988780469,1.379076980812318,1.3099126609245133,tupu-,mapi-,tupu-,mapi-,vatasi-,vatasi-,vatasi-,vatasi-,vatasi-,vatasi-,tasi-,tasi-,tasi-,mapi-,mapi-,vatasi-,vatasi-,tasi-,vatasi-,tupu-,vatasi-,tupu-,tupu-,mapi-,tasi-,tasi-,vatasi-,mapi-,tupu-,tupu-,vatasi-,tupu-,vatasi-,tasi-,vatasi-,vatasi-,tupu-,tasi-,tupu-,tupu-,vatasi-,vatasi-,soe-,vatasi-,tasi-,mapi-,soe-,tasi-,vatasi-,tupu-,tasi-,mapi-,tupu-,vatasi-,mapi-,vatasi-,tupu-,tasi-,tupu-,tasi-,vatasi-,tupu-,tupu-,mapi-,tasi-,tupu-,tasi-,vatasi-,tupu-,tupu-,"sapuri-, sope",tama-,tama-,"sapuri-, sope",tina-,tama-,tama-,tina-,venatu-,venatu-,tina-,tina-,venatu-,tama-,"sapuri-, sope",tina-,tina-,"sapuri-, sope",tama-,venatu-
9,0.25037907690446515,1.30519297810806,1.0548139012035949,vatasi-,vatasi-,mapi-,vatasi-,vatasi-,vatasi-,soe-,tupu-,mapi-,vatasi-,vatasi-,tupu-,tupu-,vatasi-,vatasi-,tupu-,vatasi-,vatasi-,tasi-,mapi-,tasi-,tupu-,tupu-,vatasi-,tupu-,mapi-,tupu-,vatasi-,vatasi-,tasi-,vatasi-,vatasi-,tasi-,tasi-,soe-,mapi-,tasi-,tasi-,tasi-,tupu-,tupu-,tupu-,mapi-,tupu-,tupu-,tasi-,vatasi-,tupu-,tasi-,vatasi-,mapi-,vatasi-,mapi-,vatasi-,tasi-,tasi-,mapi-,tasi-,vatasi-,tupu-,tasi-,tasi-,vatasi-,tupu-,tupu-,tupu-,vatasi-,mapi-,tupu-,tupu-,tina-,tama-,tina-,tina-,tama-,tama-,venatu-,"sapuri-, sope",venatu-,tama-,venatu-,"sapuri-, sope",tina-,tama-,"sapuri-, sope","sapuri-, sope",tama-,tina-,tina-,venatu-
