parameter,word
mM,ma
mF,bābā
mMeB,māmā
mFeB,jeṭha-moshay
mFyB,khuda
mMeZ,mashi-ma
mFeZ,pishi-ma
meB,dada
myB,bhāi
meZ,didi
myZ,bon
mMBeS,mamato-bhai
mMeBS,mamato-bhai
mMyBS,mamato-bhai
mFBeS,jeṭhtato-bhai
mFByS,khudtato-bhai
mFeBS,jeṭhtato-bhai
mFyBS,khudtato-bhai
mMZeS,mashtato-bhai
mMeZS,mashtato-bhai
mMyZS,mashtato-bhai
mFZeS,pishtato-bhai
mFeZS,pishtato-bhai
mFyZS,pishtato-bhai
mMBeD,mamato-bon
mMeBD,mamato-bon
mMyBD,mamato-bon
mFBeD,jaṭhtato-bon
mFByD,khudtato-bon
mFeBD,jaṭhtato-bon
mFyBD,khudtato-bon
mMZeD,mashtato-bon
mMeZD,mashtato-bon
mMyZD,mashtato-bon
mFZeD,pishtato-bon
mFeZD,pishtato-bon
mFyZD,pishtato-bon
