parameter,word
mM,manana
mF,tatana
mMeB,malume
mFeB,tatana lo'nkulu
mFyB,tatana lo'ntsongo
mMeZ,manana lo'nkulu
mMyZ,manana lo'tongo
mFeZ,hahane
meB,hosi ya mina
myB,ndisana
meZ,hosi
myZ,ndisana
mMBeS,kokwane
mMeBS,kokwane
mMyBS,kokwane
mFeBS,hosi ya mina
mFyBS,makweru
mMZeS,makweru
mMeZS,makweru
mMyZS,makweru
mFZeS,ntukulu
mFeZS,ntukulu
mFyZS,ntukulu
mMBeD,manana kokwane
mMeBD,manana kokwane
mMyBD,manana kokwane
mFeBD,makweru
mFyBD,makweru
mMZeD,makweru
mMeZD,makweru
mMyZD,makweru
mFZeD,ntukulu
mFeZD,ntukulu
mFyZD,ntukulu
parameter,word
mM,manana
mF,tatana
mMeB,malume
mFeB,tatana lo'nkulu
mFyB,tatana lo'ntsongo
mMeZ,manana lo'nkulu
mMyZ,manana lo'tongo
mFeZ,hahane
meB,hosi ya mina
myB,ndisana
meZ,hosi
myZ,ndisana
mMBeS,kokwane
mMeBS,kokwane
mMyBS,kokwane
mFeBS,hosi ya mina
mFyBS,makweru
mMZeS,makweru
mMeZS,makweru
mMyZS,makweru
mFZeS,ntukulu
mFeZS,ntukulu
mFyZS,ntukulu
mMBeD,manana kokwane
mMeBD,manana kokwane
mMyBD,manana kokwane
mFeBD,makweru
mFyBD,makweru
mMZeD,makweru
mMeZD,makweru
mMyZD,makweru
mFZeD,ntukulu
mFeZD,ntukulu
mFyZD,ntukulu
