parameter,word
mM,sanon
mF,yüman
mMeB,katobô
mMyB,
mFeB,yüman
mMeZ,sanon
mFeZ,yawôpirï
meB,irï
myB,pirï
meZ,wawá
myZ,xonen
mMBeS,
mMeBS,paman
mMyBS,paman
mFBeS,irï
mFByS,pirï
mFeBS,ymuru
mFyBS,ymuru
mMZeS,irï
mMZyS,pirï
mMeZS,
mMyZS,
mFZeS,
mFeZS,paman
mFyZS,paman
mMBeD,
mMeBD,takanô
mMyBD,takanô
mFBeD,
mFeBD,
mFyBD,
mMZeD,
mMeZD,
mMyZD,
mFZeD,
mFeZD,takanô
mFyZD,takanô
feB,yayá
fyB,tiom
feZ,payrï
fyZ,pitï
fMeBS,
fMyBS,
fFBeS,
fFeBS,
fFyBS,
fMZeS,
fFeZS,
fFyZS,
fMeBD,yerutê
fMyBD,yerutê
fFBeD,payrï
fFByD,pitï
fMZeD,payrï
fMZyD,pitï
fFeZD,yerutê
fFyZD,yerutê
