parameter,word
mM,ennat
mF,abbat
mMeB,aggot
mFeB,aggot
mMeZ,akest
mFeZ,akest
meB,tallaq wändem
myB,wändem
meZ,tallaq ehet
myZ,ehet
mMBeS,yä-aggot lej
mMeBS,yä-aggot lej
mMyBS,yä-aggot lej
mFBeS,yä-aggot lej
mFeBS,yä-aggot lej
mFyBS,yä-aggot lej
mMZeS,yä-akest lej
mMeZS,yä-akest lej
mMyZS,yä-akest lej
mFZeS,yä-akest lej
mFeZS,yä-akest lej
mFyZS,yä-akest lej
mMBeD,yä-aggot lej
mMeBD,yä-aggot lej
mMyBD,yä-aggot lej
mFBeD,yä-aggot lej
mFeBD,yä-aggot lej
mFyBD,yä-aggot lej
mMZeD,yä-akest lej
mMeZD,yä-akest lej
mMyZD,yä-akest lej
mFZeD,yä-akest lej
mFeZD,yä-akest lej
mFyZD,yä-akest lej
