parameter,word
mM,juuba
mF,tata
mFeB,taata unkulumba
mFyB,taata unnandi
mMeZ,mama unkulumba
mMyZ,mama unnandi
mFeZ,unnyasenga
mB,lumbu
meZ,ulilumbu unkulumba
myZ,ulilumbu unnandi
mMBeS,untaani
mMeBS,untaani
mMyBS,untaani
mFBeS,gwa mietu
mFeBS,gwa mietu
mFyBS,gwa mietu
mMZeS,umwana gwa
mMeZS,umwana gwa
mMyZS,umwana gwa
mFZeS,untaani
mFeZS,untaani
mFyZS,untaani
mMBeD,untaani
mMeBD,untaani
mMyBD,untaani
mFBeD,gwa mietu
mFeBD,gwa mietu
mFyBD,gwa mietu
mMZeD,umwana gwa
mMeZD,umwana gwa
mMyZD,umwana gwa
mFZeD,untaani
mFeZD,untaani
mFyZD,untaani
feZ,unkulu
fyZ,unnuguna
