parameter,word
mM,che-sy
mF,che-rú
mMeB,che-tuty
mFeB,che-ruwy
mMeZ,che-syy
mFeZ,che-djaiché
meZ,che-rendý
myZ,chen-rendý-miní
mMBeS,che-rikeý
mMByS,che-riwý
mFBeS,che-rikeý
mFByS,che-riwý
mMZeS,che-rikeý
mMZyS,che-riwý
mFZeS,che-rikeý
mFZyS,che-riwý
mMBeD,che-rendý
mMByD,chen-rendý-miní
mFBeD,che-rendý
mFByD,chen-rendý-miní
mMZeD,che-rendý
mMZyD,chen-rendý-miní
mFZeD,che-rendý
mFZyD,chen-rendý-miní
feB,che-kywý
fyB,che-kywykeý
feZ,che-ruké
fyZ,che-kypyý
fMBeS,che-kywý
fMByS,che-kywykeý
fFBeS,che-kywý
fFByS,che-kywykeý
fMZeS,che-kywý
fMZyS,che-kywykeý
fFZeS,che-kywý
fFZyS,che-kywykeý
fMBeD,che-ruké
fMByD,che-kypyý
fFBeD,che-ruké
fFByD,che-kypyý
fMZeD,che-ruké
fMZyD,che-kypyý
fFZeD,che-ruké
fFZyD,che-kypyý
