parameter,word
mM,tina
mF,tama
mMeB,wowa
mFeB,tama
mFyB,mama kae
mMeZ,tina
mMyZ,awa kae
mFeZ,wawe
meZ,lunewe
mMeBS,gode
mMyBS,gode
mFeBS,sika
mFyBS,kapa
mMeZS,sika
mMyZS,kapa
mFeZS,gode
mFyZS,gode
mMeBD,godenewe
mMyBD,godenewe
mFeBD,lunewe
mFyBD,lunewe
mMeZD,lunewe
mMyZD,lunewe
mFeZD,godenewe
mFyZD,godenewe
feB,lu
feZ,sikanewe
fyZ,kapowe
fFeBS,lu
fFyBS,lu
fMeZS,lu
fMyZS,lu
fFeBD,sikanewe
fFyBD,kapowe
fMeZD,sikanewe
fMyZD,kapowe
