parameter,word
mM,a'ty
mF,aa
mMeB,soe
mFeB,aa
mMeZ,a'ty
mFeZ,a'ty
meZ,boi
myZ,`y
mMeBS,boi
mMyBS,`y
mFeBS,boi
mFyBS,`y
mMeZS,boi
mMyZS,`y
mFeZS,boi
mFyZS,`y
mMeBD,boi
mMyBD,`y
mFeBD,boi
mFyBD,`y
mMeZD,boi
mMyZD,`y
mFeZD,boi
mFyZD,`y
feB,boi
fyB,`y
feZ,boi
fyZ,`y
fMeBS,boi
fMyBS,`y
fFeBS,boi
fFyBS,`y
fMeZS,boi
fMyZS,`y
fFeZS,boi
fFyZS,`y
fMeBD,boi
fMyBD,`y
fFeBD,boi
fFyBD,`y
fMeZD,boi
fMyZD,`y
fFeZD,boi
fFyZD,`y
