parameter,word
mM,nano
mF,naba
mMeB,nanati
mFeB,
mMeZ,
mFeZ,
meZ,nasi
mMBeS,
mMeBS,
mMyBS,
mFBeS,
mFeBS,
mFyBS,
mMZeS,nanokai
mMeZS,nanokai
mMyZS,nanokai
mFZeS,
mFeZS,
mFyZS,
mMBeD,nasi
mMeBD,nasi
mMyBD,nasi
mFBeD,
mFeBD,
mFyBD,
mMZeD,nasi
mMeZD,nasi
mMyZD,nasi
mFZeD,nasi
mFeZD,nasi
mFyZD,nasi
fMeB,
feB,nasi
feZ,nakau
fyZ,nara
fMZeS,
fMeZS,
fMyZS,
fMBeD,
fMeBD,
fMyBD,
fMZeD,
fMeZD,
fMyZD,
fFZeD,
fFeZD,
fFyZD,
