parameter,word
mM,ama
mF,ara
mMeB,apa
mFeB,ara
mMeZ,ama
mFeZ,arambo
meZ,añe
myZ,añe 
mMBeS,pedl
mMeBS,pedl
mMyBS,pedl
mFBeS,ango
mFeBS,ango
mFyBS,ango
mMZeS,ango
mMeZS,ango
mMyZS,ango
mFZeS,pedl
mFeZS,pedl
mFyZS,pedl
mMBeD,pedl
mMeBD,pedl
mMyBD,pedl
mFBeD,añe 
mFeBD,añe 
mFyBD,añe 
mMZeD,añe 
mMeZD,añe 
mMyZD,añe 
mFZeD,pedl
mFeZD,pedl
mFyZD,pedl
fMeB,
fFeB,
fMeZ,
fFeZ,
feB,
feZ,
fMBeS,
fMeBS,
fMyBS,
fFBeS,
fFeBS,
fFyBS,
fMZeS,
fMeZS,
fMyZS,
fFZeS,
fFeZS,
fFyZS,
fMBeD,
fMeBD,
fMyBD,
fFBeD,
fFeBD,
fFyBD,
fMZeD,
fMeZD,
fMyZD,
fFZeD,
fFeZD,
fFyZD,
