parameter,word
mM,aike (ave)
mF,take (tate)
mMeB,papu (neva)
mFeB,esrara
mFyB,take (tate)
mMeZ,wanenavi
mMyZ,anono (nona)
mFeZ,waneno
mFyZ,wenu (wenava)
meZ,aka
myZ,etopeya (terama)
mMeBS,anaive (naiva)
mMyBS,anaive (naiva)
mFeBS,aka
mFyBS,etopeya (terama)
mMeZS,aka
mMyZS,etopeya (terama)
mFeZS,aka
mFyZS,etopeya (terama)
mMeBD,anaive (naiva)
mMyBD,anaive (naiva)
mFeBD,aka
mFyBD,etopeya (terama)
mMeZD,aka
mMyZD,etopeya (terama)
mFeZD,aka
mFyZD,etopeya (terama)
feB,aka
fyB,etopeya (terama)
